wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,urban,meduc,feduc
445,45,110,23,12,15,13,32,False,False,True,5.0,11.0
289,40,94,35,12,9,0,30,True,False,True,5.0,11.0
1444,40,120,50,16,12,15,37,True,False,True,17.0,13.0
962,55,108,45,12,19,21,36,True,False,True,8.0,8.0
1075,40,103,31,12,17,10,33,True,False,True,11.0,11.0
909,55,97,39,11,17,5,35,True,False,True,,
1250,40,106,36,12,14,19,35,True,False,True,11.0,13.0
620,40,99,22,11,10,5,29,True,True,True,,
1016,40,72,18,10,14,15,37,True,True,True,11.0,
800,40,88,29,10,21,14,37,True,True,True,11.0,8.0
1050,40,119,37,16,7,18,37,False,False,True,12.0,13.0
1079,50,87,33,12,18,9,36,True,False,True,8.0,
654,50,121,49,17,12,13,34,True,False,True,11.0,12.0
781,50,112,33,12,8,10,30,True,False,True,12.0,8.0
1038,48,103,36,15,8,2,36,True,False,False,12.0,15.0
1924,50,99,48,16,16,14,37,True,False,True,16.0,18.0
1202,40,101,40,15,15,17,37,True,False,True,12.0,12.0
666,70,117,34,15,8,2,32,True,False,True,,
905,45,109,41,14,11,14,36,True,False,True,8.0,8.0
890,70,73,46,12,6,8,31,True,False,True,12.0,12.0
817,40,116,27,16,10,7,31,True,False,False,16.0,16.0
812,40,98,42,12,10,2,29,False,False,True,12.0,12.0
577,60,104,43,14,6,2,30,True,False,True,14.0,12.0
756,40,78,29,14,9,2,31,True,False,True,12.0,12.0
1011,40,104,43,12,20,7,37,True,False,True,,
1155,45,85,39,12,14,1,34,True,False,True,12.0,12.0
1025,40,104,25,12,12,7,29,True,False,True,12.0,10.0
1350,40,107,37,12,17,12,35,True,False,False,,
1001,40,109,48,12,20,22,37,True,False,True,8.0,10.0
796,48,119,31,13,16,15,37,True,True,True,11.0,
1230,50,96,33,13,11,12,30,True,False,True,10.0,11.0
754,40,93,31,12,13,1,30,True,False,True,,
714,40,90,32,12,17,1,37,True,False,False,12.0,12.0
1000,45,103,29,15,8,3,32,True,False,True,12.0,
2067,40,106,41,16,12,13,33,True,False,True,14.0,12.0
912,40,96,32,16,11,5,30,True,False,True,14.0,12.0
600,40,114,39,12,8,5,30,True,False,True,8.0,8.0
951,40,86,33,11,13,1,31,True,False,True,9.0,
711,45,110,38,16,8,5,32,True,False,True,13.0,12.0
1151,48,87,41,12,18,9,38,True,False,True,12.0,12.0
1000,40,89,31,12,9,5,28,True,False,True,13.0,12.0
841,44,106,40,12,15,10,31,True,False,True,8.0,
400,70,100,43,12,12,3,32,True,False,True,5.0,8.0
1175,45,111,38,12,17,14,34,True,False,True,16.0,4.0
1202,40,100,40,12,18,2,37,True,False,True,12.0,12.0
1442,40,114,38,12,16,17,33,True,False,True,12.0,10.0
538,55,98,45,18,5,1,34,True,False,True,13.0,
781,40,89,24,11,13,10,30,True,False,True,9.0,8.0
750,60,74,23,10,13,9,30,True,False,True,11.0,9.0
841,48,110,37,18,13,1,37,False,True,True,12.0,12.0
700,50,130,29,13,14,1,38,True,False,True,11.0,14.0
1346,50,108,51,16,9,4,36,True,False,True,12.0,10.0
800,45,98,31,12,16,12,33,True,False,False,10.0,8.0
1250,40,125,27,16,9,10,30,True,False,True,16.0,
1105,40,104,29,16,5,8,29,True,False,True,12.0,12.0
475,52,98,33,14,12,1,30,False,False,True,8.0,10.0
762,58,104,37,15,6,4,33,True,False,False,11.0,12.0
962,40,120,33,12,18,19,36,True,False,True,8.0,8.0
721,40,134,38,13,9,9,30,False,False,True,8.0,8.0
800,50,92,28,9,18,13,34,True,False,True,8.0,8.0
658,40,129,34,16,11,9,30,True,False,True,13.0,16.0
1270,40,118,42,14,4,16,36,True,False,True,12.0,12.0
1313,40,107,37,12,11,7,28,True,False,False,12.0,
824,42,92,37,12,19,15,38,True,False,True,12.0,11.0
1442,40,118,33,16,6,7,29,True,False,True,16.0,12.0
1400,42,108,38,17,7,3,31,True,False,True,12.0,14.0
1038,50,119,42,12,20,5,36,True,False,False,12.0,8.0
668,43,109,29,12,11,12,29,True,False,False,8.0,7.0
1100,40,91,41,12,18,10,36,True,False,False,8.0,8.0
1000,45,118,38,14,9,7,30,True,False,True,12.0,10.0
523,43,119,37,13,9,2,30,True,False,False,14.0,
1111,40,103,33,14,13,13,31,True,False,False,14.0,12.0
962,40,120,25,16,6,4,28,True,False,False,12.0,8.0
729,47,122,40,18,6,13,34,True,False,True,8.0,6.0
690,40,119,35,12,9,5,28,True,False,True,8.0,
1010,50,104,37,11,15,7,38,True,False,False,9.0,6.0
600,40,96,22,11,7,2,29,True,False,True,8.0,8.0
596,40,83,36,12,16,17,34,True,False,False,8.0,8.0
850,44,115,37,12,11,1,29,True,False,True,,
670,40,88,27,12,9,2,29,True,False,True,10.0,8.0
793,40,96,43,12,17,18,36,True,False,False,8.0,8.0
1442,40,123,42,17,14,7,38,True,False,False,12.0,6.0
670,50,108,43,12,14,8,34,True,False,True,11.0,7.0
876,45,116,35,16,10,8,29,True,False,True,12.0,12.0
841,40,109,45,18,13,2,36,True,False,False,16.0,12.0
975,40,97,39,13,8,0,31,True,False,True,12.0,12.0
1223,40,107,34,12,7,3,28,True,False,False,12.0,10.0
910,30,95,27,12,16,5,35,True,False,True,12.0,14.0
533,45,109,31,15,8,2,30,True,False,True,15.0,12.0
750,40,104,36,12,15,11,33,True,False,False,12.0,12.0
1206,40,110,37,12,16,4,38,True,False,True,12.0,12.0
745,40,94,40,13,17,1,36,False,False,False,13.0,8.0
900,40,103,38,12,15,1,37,True,False,False,8.0,6.0
1170,47,123,45,14,9,14,32,True,False,True,8.0,12.0
540,50,113,33,12,12,3,31,True,False,False,6.0,12.0
550,40,110,35,16,15,1,38,True,False,False,,
615,40,100,31,14,9,4,30,True,False,False,12.0,12.0
909,40,95,39,13,6,2,31,True,False,True,12.0,12.0
769,40,100,34,12,18,12,36,True,False,False,8.0,8.0
984,40,108,39,13,17,18,37,True,False,True,15.0,8.0
833,60,101,47,12,15,12,37,True,False,True,12.0,
879,70,90,43,12,17,10,35,False,False,True,12.0,16.0
1027,45,115,41,12,16,7,35,True,False,True,8.0,5.0
1000,55,114,41,16,10,1,33,True,False,False,,
465,43,84,33,13,10,1,29,True,False,True,11.0,11.0
1100,40,92,37,13,21,12,38,True,True,True,12.0,
641,45,125,44,14,9,0,37,True,False,True,12.0,11.0
1035,48,107,42,12,21,14,38,True,False,True,11.0,8.0
1212,40,129,33,14,9,3,32,False,False,True,8.0,9.0
950,40,98,40,12,11,6,30,True,False,True,12.0,12.0
938,44,108,41,12,19,20,38,True,False,True,8.0,
1250,40,114,37,16,8,8,30,True,False,True,2.0,8.0
586,60,111,37,18,6,10,34,True,False,False,12.0,11.0
693,53,101,29,12,7,6,28,True,False,False,12.0,12.0
562,40,99,25,12,18,12,34,False,False,False,12.0,12.0
375,60,75,24,12,12,5,30,False,False,False,12.0,8.0
673,40,91,29,12,7,11,38,True,False,False,6.0,
654,50,113,38,17,1,13,33,True,False,False,12.0,10.0
692,50,120,34,12,17,7,35,True,False,False,8.0,
1111,40,98,32,14,10,1,29,True,False,True,12.0,15.0
1368,45,107,31,16,11,1,33,True,False,True,16.0,16.0
1282,45,121,39,18,7,13,32,True,False,True,12.0,12.0
1250,60,115,40,11,19,4,38,True,False,True,,
1346,40,134,42,15,15,7,35,True,False,True,12.0,10.0
1424,50,96,47,17,15,12,37,True,False,True,,
854,48,120,38,16,8,5,29,False,False,True,12.0,16.0
888,50,105,36,15,9,5,32,False,False,True,12.0,10.0
1161,50,121,40,12,5,10,34,True,False,True,10.0,
583,58,113,29,16,9,0,30,True,False,True,12.0,9.0
1260,45,106,37,12,5,3,29,True,False,True,12.0,13.0
947,48,104,41,18,8,13,35,True,False,False,9.0,12.0
1850,40,80,23,11,14,15,33,True,False,True,10.0,10.0
1575,40,117,28,12,13,2,30,True,False,True,10.0,10.0
758,38,126,42,16,10,8,28,False,False,True,12.0,12.0
1442,40,112,42,12,19,15,36,True,False,True,10.0,8.0
489,55,104,47,13,20,4,38,True,False,True,,
1126,40,116,33,12,5,0,31,True,True,True,9.0,10.0
1000,40,70,18,12,12,5,32,False,True,True,8.0,8.0
500,70,83,20,12,13,11,32,True,False,True,6.0,6.0
1200,50,84,13,12,13,9,32,True,False,True,6.0,6.0
565,45,82,30,10,15,3,33,True,False,False,,
1920,40,109,32,12,13,2,31,True,False,False,12.0,8.0
684,45,111,25,14,7,7,29,True,False,True,12.0,12.0
774,40,94,33,12,20,4,37,True,False,False,12.0,7.0
233,60,96,32,16,7,4,30,True,False,False,12.0,8.0
975,40,101,33,13,12,10,30,True,False,False,12.0,13.0
1366,40,90,35,12,13,1,30,True,False,True,12.0,12.0
2137,40,120,48,16,16,3,37,True,False,True,12.0,12.0
700,40,120,38,16,10,1,29,True,False,True,12.0,12.0
1200,40,108,29,12,16,11,33,True,False,True,8.0,
1161,40,99,43,13,16,18,36,True,False,True,12.0,8.0
729,60,80,31,11,16,15,34,True,False,True,12.0,6.0
750,45,93,45,11,17,2,36,True,False,True,10.0,5.0
1026,45,85,46,12,4,16,38,True,False,True,,
1111,45,118,43,15,11,3,32,True,False,True,11.0,10.0
625,50,115,31,12,12,8,31,True,False,True,12.0,
1200,42,119,28,16,11,5,30,True,False,True,10.0,11.0
1541,40,94,39,12,8,1,32,True,False,True,12.0,11.0
1154,40,109,42,16,12,9,34,True,False,True,13.0,16.0
310,40,104,37,13,10,0,33,False,False,False,14.0,8.0
610,50,89,21,12,14,4,30,True,False,False,7.0,6.0
1749,43,101,28,12,16,17,36,True,False,False,12.0,8.0
1000,40,96,34,16,9,1,31,False,False,True,12.0,7.0
350,40,109,48,12,14,1,36,True,False,False,9.0,7.0
765,45,94,38,12,17,18,37,True,False,False,4.0,6.0
790,40,115,34,12,15,2,34,True,False,False,6.0,5.0
818,47,92,41,12,16,17,38,True,False,False,8.0,4.0
477,60,71,32,9,12,1,30,True,False,False,11.0,5.0
938,50,130,39,14,15,1,33,True,False,False,12.0,11.0
2099,55,119,38,16,10,4,32,True,False,True,12.0,12.0
350,40,74,24,12,14,3,32,True,False,True,10.0,13.0
940,48,104,25,12,13,0,32,True,True,True,12.0,8.0
1202,40,124,23,15,11,8,28,True,False,True,10.0,
450,40,94,29,15,9,4,31,True,False,False,12.0,
1058,40,120,44,16,16,13,37,True,False,False,12.0,4.0
1000,40,96,40,11,15,15,37,True,False,True,8.0,9.0
318,40,67,35,12,16,5,36,True,True,True,7.0,5.0
556,40,69,26,11,13,9,34,False,True,True,8.0,8.0
958,60,98,42,12,11,9,28,True,False,True,12.0,11.0
