project,street,type,district,segment,tenure,commence,sale,price,area,level,date
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,1698000,667.37,01 to 05,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2661000,947.23,11 to 15,Dec-23
LENTOR HILLS RESIDENCES,LENTOR HILLS ROAD,Apartment,26,OCR,99 years,2022.0,New Sale,2730000,1345.5,11 to 15,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1955000,721.19,01 to 05,Dec-23
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,Condominium,23,OCR,99 years,2022.0,New Sale,2191000,1033.34,11 to 15,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,2778888,1140.98,16 to 20,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,2868480,1076.4,26 to 30,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,3314880,1140.98,36 to 40,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1192000,516.67,11 to 15,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2001000,721.19,01 to 05,Dec-23
TEMBUSU GRAND,JALAN TEMBUSU,Condominium,15,RCR,99 years,2022.0,New Sale,2302000,990.29,01 to 05,Dec-23
ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 years,2019.0,New Sale,2280000,807.3,21 to 25,Dec-23
CASAFINA,BEDOK SOUTH AVENUE 1,Condominium,16,OCR,99 years,1996.0,Resale,1150000,990.29,01 to 05,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1599000,710.42,06 to 10,Dec-23
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,2140000,1130.22,06 to 10,Dec-23
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,1410000,731.95,06 to 10,Dec-23
PARQ BELLA,TEMBELING ROAD,Apartment,15,RCR,freehold,,New Sale,2657000,1130.22,01 to 05,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1915000,936.47,01 to 05,Dec-23
LAVENDER RESIDENCE,LAVENDER STREET,Apartment,12,RCR,freehold,,New Sale,1636000,882.65,01 to 05,Dec-23
SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years,2014.0,Resale,970000,796.54,01 to 05,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1860000,721.19,01 to 05,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1850000,667.37,11 to 15,Dec-23
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,1856000,656.6,16 to 20,Dec-23
LENTOR HILLS RESIDENCES,LENTOR HILLS ROAD,Apartment,26,OCR,99 years,2022.0,New Sale,2740000,1345.5,11 to 15,Dec-23
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,5,RCR,99 years,2005.0,Resale,2080000,1216.33,31 to 35,Dec-23
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1300000,731.95,16 to 20,Dec-23
WATTEN HOUSE,SHELFORD ROAD,Condominium,11,CCR,freehold,,New Sale,14157000,4079.56,01 to 05,Dec-23
SKY GREEN,MACPHERSON ROAD,Condominium,13,RCR,freehold,,Resale,2085000,1151.75,11 to 15,Dec-23
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 years,2021.0,New Sale,3240040,1248.62,01 to 05,Dec-23
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,1980000,1216.33,06 to 10,Dec-23
PRISTINE HEIGHTS,MERGUI ROAD,Apartment,8,RCR,freehold,,Resale,1180000,731.95,11 to 15,Dec-23
THE LAKEGARDEN RESIDENCES,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,1419900,678.13,06 to 10,Dec-23
PARC VERA,HOUGANG STREET 32,Condominium,19,OCR,99 years,2010.0,Resale,985000,785.77,01 to 05,Dec-23
A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 years,2011.0,Resale,1198000,775.01,01 to 05,Dec-23
GRANDE VISTA,CACTUS DRIVE,Condominium,28,OCR,other,1886.0,Resale,1740000,1237.86,06 to 10,Dec-23
THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,freehold,,Resale,880000,462.85,01 to 05,Dec-23
REGENT GROVE,CHOA CHU KANG NORTH 7,Condominium,23,OCR,99 years,1997.0,Resale,1050000,1162.51,01 to 05,Dec-23
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,4120000,2098.98,01 to 05,Dec-23
JUPITER 18,LORONG 102 CHANGI,Apartment,15,RCR,freehold,,Resale,685000,419.8,01 to 05,Dec-23
SIMSVILLE,GEYLANG EAST AVENUE 2,Condominium,14,RCR,99 years,1994.0,Resale,1300000,979.52,16 to 20,Dec-23
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,1748000,764.24,11 to 15,Dec-23
LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,1030000,914.94,01 to 05,Dec-23
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,734888,441.32,06 to 10,Dec-23
GRANGE HEIGHTS,ST. THOMAS WALK,Apartment,9,CCR,freehold,,Resale,3942000,1905.23,11 to 15,Dec-23
OASIS GARDEN,JALAN BUNGA RAMPAI,Condominium,19,RCR,freehold,,Resale,2150000,1227.1,16 to 20,Dec-23
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 years,2015.0,Resale,1600000,807.3,11 to 15,Dec-23
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,1448000,656.6,16 to 20,Dec-23
RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 years,2012.0,Resale,1400000,1076.4,11 to 15,Dec-23
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,1168000,527.44,16 to 20,Dec-23
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1996.0,Resale,1595000,1227.1,06 to 10,Dec-23
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,885000,592.02,16 to 20,Dec-23
AMBER 45,AMBER ROAD,Apartment,15,RCR,freehold,,Resale,1953000,699.66,16 to 20,Dec-23
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,26,OCR,99 years,1993.0,Resale,1298000,947.23,01 to 05,Dec-23
SKIES MILTONIA,MILTONIA CLOSE,Condominium,27,OCR,99 years,2012.0,Resale,935000,721.19,01 to 05,Dec-23
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,26,OCR,99 years,1993.0,Resale,1520000,1345.5,01 to 05,Dec-23
ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 years,2019.0,New Sale,2238000,871.88,16 to 20,Dec-23
10 EVELYN,EVELYN ROAD,Apartment,11,CCR,freehold,,New Sale,2273900,818.06,01 to 05,Dec-23
KENSINGTON PARK CONDOMINIUM,KENSINGTON PARK DRIVE,Condominium,19,OCR,other,1878.0,Resale,2830000,1668.42,11 to 15,Dec-23
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,975000,484.38,16 to 20,Dec-23
FOUR SEASONS PARK,CUSCADEN WALK,Condominium,10,CCR,freehold,,Resale,12500000,3821.22,16 to 20,Dec-23
SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years,2014.0,Resale,1260000,1022.58,01 to 05,Dec-23
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1030000,775.01,06 to 10,Dec-23
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,4022000,1463.9,11 to 15,Dec-23
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 years,2010.0,Resale,1380000,1087.16,11 to 15,Dec-23
EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 years,2010.0,Resale,770000,538.2,01 to 05,Dec-23
THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 years,2010.0,Resale,2508000,1657.66,01 to 05,Dec-23
LENTOR MODERN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2021.0,New Sale,2387000,1130.22,16 to 20,Dec-23
ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,Apartment,10,CCR,other,1995.0,Resale,7200000,2755.58,06 to 10,Dec-23
THE MARBELLA,MOUNT SINAI RISE,Condominium,10,CCR,freehold,,Resale,3638000,1582.31,16 to 20,Dec-23
JERVOIS LODGE,JERVOIS ROAD,Condominium,10,CCR,freehold,,Resale,2400000,1216.33,01 to 05,Dec-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,Condominium,2,RCR,freehold,,Resale,1440000,624.31,16 to 20,Dec-23
PICCADILLY GRAND,NORTHUMBERLAND ROAD,Apartment,8,RCR,99 years,2021.0,New Sale,1395000,624.31,21 to 25,Dec-23
BOTANIKA,HOLLAND ROAD,Apartment,10,CCR,freehold,,Resale,4850000,2260.44,01 to 05,Dec-23
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,Condominium,5,OCR,99 years,1991.0,Resale,1588888,1474.67,01 to 05,Dec-23
THE ARDEN,PHOENIX ROAD,Apartment,23,OCR,99 years,2023.0,New Sale,2124000,1205.57,01 to 05,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2091000,721.19,11 to 15,Dec-23
BAYSHORE PARK,BAYSHORE ROAD,Condominium,16,OCR,99 years,1982.0,Resale,1325000,936.47,11 to 15,Dec-23
CASA MERAH,TANAH MERAH KECHIL AVENUE,Apartment,16,OCR,99 years,2006.0,Resale,2328000,1571.54,06 to 10,Dec-23
LENTOR MODERN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2021.0,New Sale,2356000,1108.69,16 to 20,Dec-23
WATERBANK AT DAKOTA,DAKOTA CRESCENT,Condominium,14,RCR,99 years,2009.0,Resale,850000,484.38,11 to 15,Dec-23
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,2180000,1377.79,11 to 15,Dec-23
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,5,OCR,99 years,2006.0,Resale,850000,592.02,01 to 05,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2721000,947.23,11 to 15,Dec-23
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1828000,850.36,11 to 15,Dec-23
TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 years,2014.0,Resale,1330000,764.24,06 to 10,Dec-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Apartment,5,RCR,99 years,2005.0,Resale,1403000,1076.4,06 to 10,Dec-23
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,1060000,581.26,06 to 10,Dec-23
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,1400000,839.59,11 to 15,Dec-23
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,1050000,699.66,11 to 15,Dec-23
THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years,2012.0,Resale,1770000,936.47,21 to 25,Dec-23
PEOPLE'S GARDEN,LORONG 1 REALTY PARK,Apartment,19,OCR,other,1879.0,Resale,1550000,1194.8,01 to 05,Dec-23
BALMORAL GATE,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,2620000,1259.39,01 to 05,Dec-23
SAVANNAH CONDOPARK,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1850000,1797.59,06 to 10,Dec-23
DAKOTA RESIDENCES,DAKOTA CRESCENT,Condominium,14,RCR,99 years,2007.0,Resale,2230000,1313.21,06 to 10,Dec-23
RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,other,1885.0,Resale,2250000,1367.03,06 to 10,Dec-23
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,1878888,1259.39,16 to 20,Dec-23
HILLVIEW RESIDENCE,HILLVIEW AVENUE,Condominium,23,OCR,other,1885.0,Resale,1778000,1270.15,01 to 05,Dec-23
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,1140000,850.36,11 to 15,Dec-23
LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years,2015.0,Resale,1500000,861.12,11 to 15,Dec-23
MARINA COLLECTION,COVE DRIVE,Condominium,4,CCR,99 years,2007.0,Resale,3800000,2185.09,01 to 05,Dec-23
SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 years,2013.0,Resale,2430000,1140.98,16 to 20,Dec-23
CASSIA EDGE,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,Resale,1000000,678.13,01 to 05,Dec-23
LAGOON VIEW,MARINE PARADE ROAD,Apartment,15,OCR,99 years,1977.0,Resale,1970000,1646.89,21 to 25,Dec-23
THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,2410000,1065.64,21 to 25,Dec-23
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 years,2008.0,Resale,2390000,1603.84,01 to 05,Dec-23
VUE 8 RESIDENCE,PASIR RIS HEIGHTS,Condominium,18,OCR,99 years,2012.0,Resale,760000,473.62,06 to 10,Dec-23
THE ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 years,1979.0,Resale,4400000,3735.11,06 to 10,Dec-23
THE CLIFT,MCCALLUM STREET,Apartment,1,CCR,99 years,2004.0,Resale,1050000,527.44,11 to 15,Dec-23
NEPTUNE COURT,MARINE VISTA,Apartment,15,OCR,99 years,1975.0,Resale,1938000,1636.13,16 to 20,Dec-23
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,1250000,914.94,01 to 05,Dec-23
SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years,2014.0,Resale,870000,688.9,06 to 10,Dec-23
HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 years,2010.0,Resale,1360000,1076.4,06 to 10,Dec-23
KINGSFORD . HILLVIEW PEAK,HILLVIEW RISE,Condominium,23,OCR,99 years,2012.0,Resale,950000,979.52,11 to 15,Dec-23
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,1660000,1108.69,06 to 10,Dec-23
RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 years,1997.0,Resale,998000,990.29,01 to 05,Dec-23
THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 years,2012.0,Resale,930000,495.14,16 to 20,Dec-23
MUTIARA VIEW,JALAN MUTIARA,Apartment,10,CCR,freehold,,Resale,2438000,1162.51,01 to 05,Dec-23
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1314888,936.47,06 to 10,Dec-23
OXLEY RESIDENCE,OXLEY ROAD,Condominium,9,CCR,freehold,,Resale,7800000,3616.7,01 to 05,Dec-23
TERRASSE,TERRASSE LANE,Condominium,19,OCR,99 years,2010.0,Resale,2300000,1872.94,01 to 05,Dec-23
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,1480000,656.6,31 to 35,Dec-23
PARK INFINIA AT WEE NAM,LINCOLN ROAD,Condominium,11,CCR,freehold,,Resale,3500000,1463.9,06 to 10,Dec-23
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,909000,570.49,16 to 20,Dec-23
LE QUEST,BUKIT BATOK STREET 41,Apartment,23,OCR,99 years,2016.0,Resale,1310000,807.3,16 to 20,Dec-23
THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years,2013.0,Resale,1400000,839.59,06 to 10,Dec-23
ARCHIPELAGO,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2011.0,Resale,770000,527.44,01 to 05,Dec-23
NV RESIDENCES,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,1725000,1453.14,11 to 15,Dec-23
THE NAUTICAL,JALAN SENDUDOK,Condominium,27,OCR,99 years,2011.0,Resale,1238888,990.29,01 to 05,Dec-23
THE STERLING,BUKIT TIMAH ROAD,Condominium,21,RCR,freehold,,Resale,3160000,1517.72,01 to 05,Dec-23
PASIR RIS 8,PASIR RIS DRIVE 8,Apartment,18,OCR,99 years,2021.0,New Sale,2279000,1259.39,11 to 15,Dec-23
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1460000,775.01,11 to 15,Dec-23
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 years,2013.0,Resale,1430000,1044.11,06 to 10,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1935000,678.13,36 to 40,Dec-23
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,freehold,,New Sale,1598000,462.85,26 to 30,Dec-23
EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 years,2010.0,Resale,780000,538.2,01 to 05,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1403000,624.31,06 to 10,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1877000,667.37,11 to 15,Dec-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1580000,893.41,01 to 05,Dec-23
OUE TWIN PEAKS,LEONIE HILL ROAD,Condominium,9,CCR,99 years,2010.0,Resale,2310000,1054.87,11 to 15,Dec-23
RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 years,2012.0,Resale,960000,753.48,01 to 05,Dec-23
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,1858000,1216.33,06 to 10,Dec-23
BEACON HEIGHTS,MAR THOMA ROAD,Condominium,12,RCR,other,1882.0,Resale,1720000,1108.69,21 to 25,Dec-23
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,2975000,1539.25,26 to 30,Dec-23
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,Condominium,23,OCR,other,1882.0,Resale,2400000,1657.66,06 to 10,Dec-23
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,7888888,4251.78,31 to 35,Dec-23
KATONG REGENCY,TANJONG KATONG ROAD,Apartment,15,RCR,freehold,,Resale,1128000,570.49,11 to 15,Dec-23
THE INTERLACE,DEPOT ROAD,Condominium,4,RCR,99 years,2009.0,Resale,1600000,1054.87,01 to 05,Dec-23
TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 years,2008.0,Resale,1680000,925.7,31 to 35,Dec-23
THE LEVELZ,FARRER ROAD,Condominium,10,CCR,freehold,,Resale,2120000,1334.74,01 to 05,Dec-23
THE ORANGE GROVE,ORANGE GROVE ROAD,Condominium,10,CCR,freehold,,Resale,5100000,2335.79,01 to 05,Dec-23
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,3365000,1679.18,21 to 25,Dec-23
TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 years,2014.0,Resale,1140000,699.66,01 to 05,Dec-23
LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 years,2001.0,Resale,1468000,1248.62,06 to 10,Dec-23
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,845000,441.32,21 to 25,Dec-23
SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years,2014.0,Resale,980000,796.54,01 to 05,Dec-23
THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,freehold,,Resale,1850000,1001.05,01 to 05,Dec-23
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 years,2015.0,Resale,1595000,807.3,11 to 15,Dec-23
PINNACLE 16,SHAN ROAD,Apartment,12,RCR,freehold,,Resale,1868000,1582.31,16 to 20,Dec-23
NORTHWOOD,JALAN MATA AYER,Condominium,27,OCR,freehold,,Resale,1250000,1130.22,01 to 05,Dec-23
QUEENS PEAK,DUNDEE ROAD,Condominium,3,RCR,99 years,2015.0,Resale,970000,441.32,06 to 10,Dec-23
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,freehold,,Resale,925000,387.5,16 to 20,Dec-23
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,990000,807.3,11 to 15,Dec-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,1999.0,Resale,3150000,2583.36,06 to 10,Dec-23
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,970000,764.24,01 to 05,Dec-23
SEASONS PARK,YIO CHU KANG ROAD,Condominium,26,OCR,99 years,1995.0,Resale,1550000,1248.62,06 to 10,Dec-23
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,1725000,1097.93,11 to 15,Dec-23
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,720000,484.38,06 to 10,Dec-23
FOREST WOODS,LORONG LEW LIAN,Condominium,19,OCR,99 years,2016.0,Resale,1280000,656.6,06 to 10,Dec-23
ST FRANCIS COURT,ST. FRANCIS ROAD,Apartment,12,RCR,99 years,1992.0,Resale,888000,818.06,06 to 10,Dec-23
SHERWOOD TOWER,JALAN ANAK BUKIT,Apartment,21,RCR,99 years,1976.0,Resale,830000,785.77,01 to 05,Dec-23
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1510000,828.83,11 to 15,Dec-23
OCEAN PARK,EAST COAST ROAD,Condominium,15,OCR,freehold,,Resale,2650000,1302.44,11 to 15,Dec-23
EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 years,2010.0,Resale,770000,548.96,01 to 05,Dec-23
THE JOVELL,FLORA DRIVE,Condominium,17,OCR,99 years,2018.0,Resale,838000,527.44,01 to 05,Dec-23
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,Condominium,21,OCR,other,1877.0,Resale,1959000,1151.75,06 to 10,Dec-23
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,835000,441.32,16 to 20,Dec-23
VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,freehold,,Resale,1680000,1140.98,01 to 05,Dec-23
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,Apartment,21,RCR,99 years,1979.0,Resale,1990000,1872.94,06 to 10,Dec-23
THE RESERVE RESIDENCES,JALAN ANAK BUKIT,Apartment,21,RCR,99 years,2021.0,New Sale,3399247,1313.21,26 to 30,Dec-23
THE CENTREPOINT,ORCHARD ROAD,Apartment,9,CCR,99 years,1979.0,Resale,2450000,1119.46,06 to 10,Dec-23
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,4353000,1463.9,21 to 25,Dec-23
GILSTEAD TWO,GILSTEAD ROAD,Apartment,11,CCR,freehold,,Resale,2140000,904.18,11 to 15,Dec-23
ENCHANTÉ,EVELYN ROAD,Apartment,11,CCR,freehold,,New Sale,3077800,1087.16,01 to 05,Dec-23
THE ARDEN,PHOENIX ROAD,Apartment,23,OCR,99 years,2023.0,New Sale,1315000,721.19,01 to 05,Dec-23
THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 years,2005.0,Resale,1598000,1151.75,16 to 20,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,2064000,721.19,11 to 15,Dec-23
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,1078888,904.18,16 to 20,Dec-23
THE ATRIA AT MEYER,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,3180000,1474.67,11 to 15,Dec-23
THE TROPICA,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,1996.0,Resale,1373800,1227.1,01 to 05,Dec-23
BLOSSOMS BY THE PARK,SLIM BARRACKS RISE,Apartment,5,RCR,99 years,2022.0,New Sale,2619000,1044.11,21 to 25,Dec-23
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,1660000,742.72,11 to 15,Dec-23
ALEXIS,ALEXANDRA ROAD,Apartment,3,RCR,freehold,,Resale,820000,527.44,01 to 05,Dec-23
BELLA CASITA,IPOH LANE,Apartment,15,RCR,freehold,,Resale,820000,462.85,06 to 10,Dec-23
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,1490000,1162.51,01 to 05,Dec-23
LOFT 33,LORONG 32 GEYLANG,Apartment,14,RCR,freehold,,Resale,978000,613.55,01 to 05,Dec-23
GUILLEMARD SUITES,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,Resale,845000,602.78,01 to 05,Dec-23
REGIS MANSIONS,JALAN RAJAWALI,Apartment,21,RCR,freehold,,Resale,1738000,1205.57,06 to 10,Dec-23
ROYALGREEN,ANAMALAI AVENUE,Condominium,10,CCR,freehold,,Resale,3080000,1076.4,01 to 05,Dec-23
PEBBLE BAY,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1994.0,Resale,2000000,1280.92,06 to 10,Dec-23
BELMOND GREEN,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,3300000,1313.21,01 to 05,Dec-23
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,1950000,1216.33,16 to 20,Dec-23
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,1338000,699.66,21 to 25,Dec-23
THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years,2013.0,Resale,1380000,678.13,11 to 15,Dec-23
CHANTILLY RISE,HILLVIEW AVENUE,Condominium,23,OCR,freehold,,Resale,1300000,947.23,06 to 10,Dec-23
WILKIE REGENCY,WILKIE TERRACE,Apartment,9,CCR,freehold,,Resale,1580000,850.36,06 to 10,Dec-23
SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 years,2011.0,Resale,3448888,1862.17,26 to 30,Dec-23
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,1620000,1151.75,11 to 15,Dec-23
